Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech,Hungarian;Dutch;Portuguese;Russian;Finnish;
install_catholicism;Convert into our Religion;x;
install_catholicism_desc;Convert into our Religion;x;
install_catholicism_setup;Convert into our Religion;x;
install_catholicism_short;Convert into our Religion;x;
WAR_NAME;$FIRST$ mision to $SECOND$;x;
thirty_years_war_france;Westfalia Peace;x;
thirty_years_war_france_desc;Westfalia Peace;x;
thirty_years_war_france_setup;Westfalia Peace;x;
thirty_years_war_france_short;Westfalia Peace;x;
WAR_NAME;$FIRST$ mision to $SECOND$;x;
thirty_years_war_habsburg;Verdun Peace;x;
thirty_years_war_habsburg_desc;Verdun Peace;x;
thirty_years_war_habsburg_setup;Verdun Peace;x;
thirty_years_war_habsburg_short;Verdun Peace;x;
WAR_NAME;$FIRST$ mision to $SECOND$;x;
the_last_crusade;The 10th Crusade;x;
the_last_crusade_desc;The 10th Crusade;x;
the_last_crusade_setup;The 10th Crusade;x;
the_last_crusade_short;The 10th Crusade;x;
WAR_NAME;$FIRST$ Last Crusade;x;
